region_code,region,source_region_name,year,infant_mortality_per_1000
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1990,102.1
SAS,South Asia,South Asia,1990,85.5
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1990,79.1
EAS,East Asia & Pacific,East Asia & Pacific,1990,44.5
LCN,Latin America & Caribbean,Latin America & Caribbean,1990,44.1
ECS,Europe & Central Asia,Europe & Central Asia,1990,25.6
NAC,North America,North America,1990,9.2
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1991,102.9
SAS,South Asia,South Asia,1991,83.4
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1991,77.3
EAS,East Asia & Pacific,East Asia & Pacific,1991,43.8
LCN,Latin America & Caribbean,Latin America & Caribbean,1991,42.3
ECS,Europe & Central Asia,Europe & Central Asia,1991,25.3
NAC,North America,North America,1991,8.9
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1992,102.3
SAS,South Asia,South Asia,1992,81.3
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1992,75.6
EAS,East Asia & Pacific,East Asia & Pacific,1992,42.7
LCN,Latin America & Caribbean,Latin America & Caribbean,1992,40.4
ECS,Europe & Central Asia,Europe & Central Asia,1992,25.0
NAC,North America,North America,1992,8.6
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1993,101.4
SAS,South Asia,South Asia,1993,79.3
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1993,74.3
EAS,East Asia & Pacific,East Asia & Pacific,1993,41.6
LCN,Latin America & Caribbean,Latin America & Caribbean,1993,38.6
ECS,Europe & Central Asia,Europe & Central Asia,1993,24.7
NAC,North America,North America,1993,8.3
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1994,100.0
SAS,South Asia,South Asia,1994,77.3
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1994,73.2
EAS,East Asia & Pacific,East Asia & Pacific,1994,40.3
LCN,Latin America & Caribbean,Latin America & Caribbean,1994,36.7
ECS,Europe & Central Asia,Europe & Central Asia,1994,24.0
NAC,North America,North America,1994,8.0
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1995,97.6
SAS,South Asia,South Asia,1995,75.4
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1995,71.8
EAS,East Asia & Pacific,East Asia & Pacific,1995,39.4
LCN,Latin America & Caribbean,Latin America & Caribbean,1995,35.0
ECS,Europe & Central Asia,Europe & Central Asia,1995,23.3
NAC,North America,North America,1995,7.7
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1996,98.4
SAS,South Asia,South Asia,1996,73.4
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1996,70.2
EAS,East Asia & Pacific,East Asia & Pacific,1996,38.0
LCN,Latin America & Caribbean,Latin America & Caribbean,1996,33.3
ECS,Europe & Central Asia,Europe & Central Asia,1996,22.1
NAC,North America,North America,1996,7.5
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1997,96.6
SAS,South Asia,South Asia,1997,71.3
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1997,68.3
EAS,East Asia & Pacific,East Asia & Pacific,1997,36.5
LCN,Latin America & Caribbean,Latin America & Caribbean,1997,31.6
ECS,Europe & Central Asia,Europe & Central Asia,1997,21.1
NAC,North America,North America,1997,7.3
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1998,96.2
SAS,South Asia,South Asia,1998,69.2
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1998,66.3
EAS,East Asia & Pacific,East Asia & Pacific,1998,35.0
LCN,Latin America & Caribbean,Latin America & Caribbean,1998,30.2
ECS,Europe & Central Asia,Europe & Central Asia,1998,20.0
NAC,North America,North America,1998,7.2
SSF,Sub-Saharan Africa,Sub-Saharan Africa,1999,91.7
SAS,South Asia,South Asia,1999,67.1
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",1999,64.5
EAS,East Asia & Pacific,East Asia & Pacific,1999,33.4
LCN,Latin America & Caribbean,Latin America & Caribbean,1999,28.5
ECS,Europe & Central Asia,Europe & Central Asia,1999,18.9
NAC,North America,North America,1999,7.1
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2000,88.9
SAS,South Asia,South Asia,2000,64.9
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2000,62.5
EAS,East Asia & Pacific,East Asia & Pacific,2000,31.6
LCN,Latin America & Caribbean,Latin America & Caribbean,2000,27.1
ECS,Europe & Central Asia,Europe & Central Asia,2000,17.5
NAC,North America,North America,2000,7.0
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2001,86.7
SAS,South Asia,South Asia,2001,62.7
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2001,60.5
EAS,East Asia & Pacific,East Asia & Pacific,2001,30.0
LCN,Latin America & Caribbean,Latin America & Caribbean,2001,25.8
ECS,Europe & Central Asia,Europe & Central Asia,2001,16.6
NAC,North America,North America,2001,6.9
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2002,82.7
SAS,South Asia,South Asia,2002,60.6
MEA,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",2002,58.6
EAS,East Asia & Pacific,East Asia & Pacific,2002,28.3
LCN,Latin America & Caribbean,Latin America & Caribbean,2002,24.6
ECS,Europe & Central Asia,Europe & Central Asia,2002,15.6
NAC,North America,North America,2002,6.8
SSF,Sub-Saharan Africa,Sub-Saharan Africa,2003,79.4
SAS,South Asia,South Asia,2003,58.6
