iso3,entity_name,region_id,region_name,start_year,end_year,internet_start,internet_end,fertility_start,fertility_end,delta_internet,delta_fertility,movement_quadrant
AGO,Angola,SSF,Sub-Saharan Africa,2000,2024,0.105045562462262,40.70479965,6.639,5.048,40.59975408753774,-1.5910000000000002,right_down
ALB,Albania,ECS,Europe & Central Asia,2000,2024,0.114097346552109,85.86389923,2.217,1.341,85.74980188344789,-0.8760000000000001,right_down
AND,Andorra,ECS,Europe & Central Asia,2000,2024,10.53883560922,94.39759827,1.273,1.087,83.85876266078,-0.18599999999999994,right_down
ARE,United Arab Emirates,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,23.6253008751553,100.0,2.733,1.213,76.3746991248447,-1.52,right_down
ARG,Argentina,LCN,Latin America & Caribbean,2000,2024,7.0386830862178,89.66715228,2.591,1.504,82.6284691937822,-1.0870000000000002,right_down
ARM,Armenia,ECS,Europe & Central Asia,2000,2024,1.30047002237784,81.33930206,1.3,1.7,80.03883203762216,0.3999999999999999,right_up
ATG,Antigua and Barbuda,LCN,Latin America & Caribbean,2000,2024,6.48222573702907,72.73040009,2.196,1.582,66.24817435297093,-0.6140000000000001,right_down
AUS,Australia,EAS,East Asia & Pacific,2000,2024,46.7561156116738,96.13140106,1.756,1.481,49.3752854483262,-0.2749999999999999,right_down
AUT,Austria,ECS,Europe & Central Asia,2000,2024,33.7301329516915,94.91974877,1.36,1.31,61.189615818308496,-0.050000000000000044,right_down
AZE,Azerbaijan,ECS,Europe & Central Asia,2000,2024,0.147757575623251,90.43979645,2.0,1.43,90.29203887437676,-0.5700000000000001,right_down
BDI,Burundi,SSF,Sub-Saharan Africa,2000,2024,0.077248447383456,8.595999718,6.872,4.789,8.518751270616544,-2.083,right_down
BEL,Belgium,ECS,Europe & Central Asia,2000,2024,29.4316916924341,95.77579144,1.67,1.44,66.3440997475659,-0.22999999999999998,right_down
BEN,Benin,SSF,Sub-Saharan Africa,2000,2024,0.225247851473369,33.98379898,5.937,4.48,33.75855112852663,-1.4569999999999999,right_down
BFA,Burkina Faso,SSF,Sub-Saharan Africa,2000,2024,0.0770801689426014,28.25270081,6.519,4.11,28.1756206410574,-2.409,right_down
BGD,Bangladesh,SAS,South Asia,2000,2024,0.0710394230507683,53.42171316,3.279,2.138,53.35067373694923,-1.141,right_down
BGR,Bulgaria,ECS,Europe & Central Asia,2000,2024,5.37092346908696,82.438955,1.26,1.72,77.06803153091305,0.45999999999999996,right_up
BHR,Bahrain,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,6.15373254647607,100.0,2.798,1.805,93.84626745352394,-0.9930000000000001,right_down
BHS,"Bahamas, The",LCN,Latin America & Caribbean,2000,2024,8.0,92.47270203,2.06,1.374,84.47270203,-0.6859999999999999,right_down
BIH,Bosnia and Herzegovina,ECS,Europe & Central Asia,2000,2024,1.08296074971207,86.10091103,1.282,1.492,85.01795028028793,0.20999999999999996,right_up
BLR,Belarus,ECS,Europe & Central Asia,2000,2024,1.86039812615388,94.26182128,1.317,1.217,92.40142315384612,-0.09999999999999987,right_down
BLZ,Belize,LCN,Latin America & Caribbean,2000,2024,5.96383530272428,80.00582262,3.633,2.021,74.04198731727573,-1.612,right_down
BOL,Bolivia,LCN,Latin America & Caribbean,2000,2024,1.4427635847914,79.70469666,3.991,2.523,78.2619330752086,-1.468,right_down
BRA,Brazil,LCN,Latin America & Caribbean,2000,2024,2.87068515854108,84.46347227,2.247,1.614,81.59278711145892,-0.6329999999999998,right_down
BRB,Barbados,LCN,Latin America & Caribbean,2000,2024,3.97367835457927,70.36470032,1.933,1.708,66.39102196542073,-0.2250000000000001,right_down
BRN,Brunei Darussalam,EAS,East Asia & Pacific,2000,2024,8.99628453448726,96.29828801,2.398,1.731,87.30200347551273,-0.667,right_down
BTN,Bhutan,SAS,South Asia,2000,2024,0.40094444691941,91.27739716,3.378,1.449,90.8764527130806,-1.929,right_down
BWA,Botswana,SSF,Sub-Saharan Africa,2000,2024,2.90266662177209,57.45950036,3.294,2.703,54.55683373822791,-0.5910000000000002,right_down
CAF,Central African Republic,SSF,Sub-Saharan Africa,2000,2024,0.0533941742150456,13.78250027,5.851,5.954,13.729106095784955,0.10299999999999976,right_up
CAN,Canada,NAC,North America,2000,2024,51.3,94.353302,1.51,1.25,43.053302,-0.26,right_down
CHE,Switzerland,ECS,Europe & Central Asia,2000,2024,47.1,97.3443985,1.5,1.29,50.244398499999996,-0.20999999999999996,right_down
CHL,Chile,LCN,Latin America & Caribbean,2000,2024,16.6,95.590243,2.046,1.14,78.99024299999999,-0.9059999999999999,right_down
CHN,China,EAS,East Asia & Pacific,2000,2024,1.77591320677415,92.0,1.628,1.013,90.22408679322585,-0.615,right_down
CIV,Cote d'Ivoire,SSF,Sub-Saharan Africa,2000,2024,0.231461670612799,41.43219902,5.773,4.23,41.2007373493872,-1.5429999999999993,right_down
CMR,Cameroon,SSF,Sub-Saharan Africa,2000,2024,0.252120077733662,46.25880051,5.514,4.261,46.006680432266336,-1.2530000000000001,right_down
COD,"Congo, Dem. Rep.",SSF,Sub-Saharan Africa,2000,2024,0.0059021136806903,19.67350006,6.702,5.981,19.667597946319308,-0.7210000000000001,right_down
COG,"Congo, Rep.",SSF,Sub-Saharan Africa,2000,2024,0.0263547320580279,47.25159836,4.724,4.109,47.22524362794198,-0.6150000000000002,right_down
COL,Colombia,LCN,Latin America & Caribbean,2000,2024,2.207532992624,79.34543299,2.574,1.634,77.13789999737601,-0.94,right_down
COM,Comoros,SSF,Sub-Saharan Africa,2000,2024,0.271740607285909,32.51750183,5.227,3.822,32.245761222714094,-1.4050000000000002,right_down
CPV,Cabo Verde,SSF,Sub-Saharan Africa,2000,2024,1.82244385164396,74.73519897,3.545,1.511,72.91275511835605,-2.034,right_down
CRI,Costa Rica,LCN,Latin America & Caribbean,2000,2024,5.80025302331829,87.17019653,2.413,1.318,81.36994350668171,-1.0949999999999998,right_down
CUB,Cuba,LCN,Latin America & Caribbean,2000,2024,0.541182548811058,70.47699738,1.608,1.445,69.93581483118894,-0.16300000000000003,right_down
CYP,Cyprus,ECS,Europe & Central Asia,2000,2024,15.2553943710137,89.60099246,1.638,1.38,74.34559808898629,-0.258,right_down
CZE,Czechia,ECS,Europe & Central Asia,2000,2024,9.78052788834393,87.68776014,1.15,1.36,77.90723225165607,0.2100000000000002,right_up
DEU,Germany,ECS,Europe & Central Asia,2000,2024,30.2163466048889,93.49999579,1.38,1.36,63.2836491851111,-0.019999999999999796,right_down
DJI,Djibouti,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,0.194500528399956,65.29889679,4.601,2.618,65.10439626160004,-1.983,right_down
DMA,Dominica,LCN,Latin America & Caribbean,2000,2024,8.81484419762881,82.04689789,2.346,1.48,73.23205369237118,-0.8660000000000001,right_down
DNK,Denmark,ECS,Europe & Central Asia,2000,2024,39.1724308555053,99.76915157,1.77,1.47,60.59672071449471,-0.30000000000000004,right_down
DOM,Dominican Republic,LCN,Latin America & Caribbean,2000,2024,3.70469235587688,91.0022446,2.869,2.222,87.29755224412311,-0.6470000000000002,right_down
DZA,Algeria,MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,0.491705679141589,77.4178009,2.59,2.723,76.92609522085841,0.133,right_up
ECU,Ecuador,LCN,Latin America & Caribbean,2000,2024,1.46218853556457,77.17273115,3.102,1.806,75.71054261443544,-1.2959999999999998,right_down
EGY,"Egypt, Arab Rep.",MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,2024,0.641265037504813,74.64839935,3.505,2.735,74.0071343124952,-0.77,right_down
ESP,Spain,ECS,Europe & Central Asia,2000,2024,13.6249608089899,95.7574516,1.22,1.1,82.1324907910101,-0.11999999999999988,right_down
EST,Estonia,ECS,Europe & Central Asia,2000,2024,28.5769538105646,92.23796204,1.36,1.18,63.661008229435396,-0.18000000000000016,right_down
ETH,Ethiopia,SSF,Sub-Saharan Africa,2000,2024,0.0152637672082567,21.94129944,6.654,3.909,21.926035672791745,-2.745,right_down
FIN,Finland,ECS,Europe & Central Asia,2000,2024,37.2484617371121,93.72405196,1.73,1.25,56.475590222887895,-0.48,right_down
FJI,Fiji,EAS,East Asia & Pacific,2000,2024,1.4968547339902,74.7052002,2.992,2.27,73.20834546600979,-0.722,right_down
FRA,France,ECS,Europe & Central Asia,2000,2024,14.3079239430677,88.65381638,1.89,1.61,74.3458924369323,-0.2799999999999998,right_down
FSM,"Micronesia, Fed. Sts.",EAS,East Asia & Pacific,2000,2024,3.73486213690137,39.52360153,4.217,2.743,35.78873939309863,-1.4739999999999998,right_down
GAB,Gabon,SSF,Sub-Saharan Africa,2000,2024,1.21614061828589,68.72090149,4.469,3.592,67.50476087171411,-0.8770000000000002,right_down
GBR,United Kingdom,ECS,Europe & Central Asia,2000,2024,26.8217543508578,95.4720993,1.64,1.551,68.6503449491422,-0.08899999999999997,right_down
GEO,Georgia,ECS,Europe & Central Asia,2000,2024,0.484746298540492,83.79855689,1.609,1.802,83.31381059145951,0.19300000000000006,right_up
GHA,Ghana,SSF,Sub-Saharan Africa,2000,2024,0.153615297625799,72.17569733,4.827,3.344,72.0220820323742,-1.483,right_down
GIN,Guinea,SSF,Sub-Saharan Africa,2000,2024,0.0954249236063846,33.30469894,5.918,4.131,33.209274016393614,-1.787,right_down
GMB,"Gambia, The",SSF,Sub-Saharan Africa,2000,2024,0.921794919066406,49.49430084,5.716,3.907,48.572505920933594,-1.8090000000000002,right_down
GNB,Guinea-Bissau,SSF,Sub-Saharan Africa,2000,2024,0.230103170591588,29.77739906,5.786,3.757,29.547295889408414,-2.0289999999999995,right_down
GNQ,Equatorial Guinea,SSF,Sub-Saharan Africa,2000,2024,0.132354665123789,63.29930115,5.834,4.116,63.166946484876206,-1.718,right_down
GRC,Greece,ECS,Europe & Central Asia,2000,2024,9.13883730776798,86.26968886,1.25,1.24,77.13085155223202,-0.010000000000000009,right_down
