variant,year,guide_id,x_low,x_high,n,x_plot,median_fertility,excluded_nonpositive_x
A_linear_10pp,2000,0,0,10,148,1.01080881569,3.2865,0
A_linear_10pp,2000,1,10,20,17,14.3079239431,1.89,0
A_linear_10pp,2000,2,20,30,10,25.223527613,1.655,0
A_linear_10pp,2000,3,30,40,8,34.8650664758,1.665,0
A_linear_10pp,2000,4,40,50,11,44.7,1.738,0
A_linear_10pp,2001,0,0,10,140,1.2736206433,3.4755,0
A_linear_10pp,2001,1,10,20,23,15.0386342514,1.9,0
A_linear_10pp,2001,2,20,30,8,25.8259908674,2.022,0
A_linear_10pp,2001,3,30,40,10,34.472615883,1.34,0
A_linear_10pp,2001,4,40,50,10,45.8814975062,1.8005,0
A_linear_10pp,2001,5,50,60,6,52.9651408626,1.5445,0
A_linear_10pp,2002,0,0,10,126,1.75484959099,3.701,0
A_linear_10pp,2002,1,10,20,27,15.3298798557,2.032,0
A_linear_10pp,2002,2,20,30,19,23.93,1.672,0
A_linear_10pp,2002,3,30,40,5,32.3382043389,1.88,0
A_linear_10pp,2002,4,40,50,9,46.33,1.36,0
A_linear_10pp,2002,5,50,60,8,57.6327019418,1.7225,0
A_linear_10pp,2002,6,60,70,5,61.5932992682,1.72,0
A_linear_10pp,2002,7,70,80,3,72.84,1.75,0
A_linear_10pp,2003,0,0,10,115,2.19535973086,3.721,0
A_linear_10pp,2003,1,10,20,20,14.3583990511,2.1505,0
A_linear_10pp,2003,2,20,30,23,24.87,1.885,0
A_linear_10pp,2003,3,30,40,10,34.305,1.6805,0
A_linear_10pp,2003,4,40,50,6,46.877632945,1.375,0
A_linear_10pp,2003,5,50,60,9,54.55,1.36,0
A_linear_10pp,2003,6,60,70,8,64.585,1.725,0
A_linear_10pp,2003,7,70,80,3,78.13,1.76,0
A_linear_10pp,2004,0,0,10,104,2.5070566093,3.768,0
A_linear_10pp,2004,1,10,20,23,13.6890885885,2.198,0
A_linear_10pp,2004,2,20,30,23,24.2665437162,1.863,0
A_linear_10pp,2004,3,30,40,17,32.8860826098,1.43,0
A_linear_10pp,2004,4,40,50,4,43.1311328148,1.5535,0
A_linear_10pp,2004,5,50,60,8,53.53,1.445,0
A_linear_10pp,2004,6,60,70,13,64.758256476,1.66,0
A_linear_10pp,2004,7,70,80,3,72.7,1.8,0
A_linear_10pp,2004,8,80,90,3,83.88,1.78,0
A_linear_10pp,2005,0,0,10,97,2.580199957,3.835,0
A_linear_10pp,2005,1,10,20,25,13.75949955,2.5,0
A_linear_10pp,2005,2,20,30,23,24.73349953,1.942,0
A_linear_10pp,2005,3,30,40,18,35.745,1.4895,0
A_linear_10pp,2005,4,40,50,8,44.435,1.625,0
A_linear_10pp,2005,5,50,60,7,55.81999969,1.738,0
A_linear_10pp,2005,6,60,70,10,64.4092323599,1.651,0
A_linear_10pp,2005,7,70,80,6,70.88,1.605,0
A_linear_10pp,2005,8,80,90,5,82.74,1.8,0
A_linear_10pp,2006,0,0,10,90,2.80553646404,3.9995,0
A_linear_10pp,2006,1,10,20,28,15.2831930069,2.2225,0
A_linear_10pp,2006,2,20,30,23,27.09,2.019,0
A_linear_10pp,2006,3,30,40,12,35.3909855853,1.711,0
A_linear_10pp,2006,4,40,50,12,44.9393237559,1.35,0
A_linear_10pp,2006,5,50,60,11,54.01,1.46,0
A_linear_10pp,2006,6,60,70,13,66,1.8,0
A_linear_10pp,2006,7,70,80,6,74.105,1.535,0
A_linear_10pp,2006,8,80,90,5,86.65,1.85,0
A_linear_10pp,2007,0,0,10,83,3,4.358,0
A_linear_10pp,2007,1,10,20,23,14.53999996,2.7,0
A_linear_10pp,2007,2,20,30,26,23.44500019,2.138,0
A_linear_10pp,2007,3,30,40,17,34,1.86,0
A_linear_10pp,2007,4,40,50,13,44.68,1.449,0
A_linear_10pp,2007,5,50,60,10,54.205,1.495,0
A_linear_10pp,2007,6,60,70,14,65.5851001,1.806,0
A_linear_10pp,2007,7,70,80,11,75.09,1.61,0
A_linear_10pp,2007,8,80,90,5,85.03,1.84,0
A_linear_10pp,2008,0,0,10,75,3.400000095,4.515,0
A_linear_10pp,2008,1,10,20,21,14,2.697,0
A_linear_10pp,2008,2,20,30,23,23.2,2.172,0
A_linear_10pp,2008,3,30,40,23,34.37,1.89,0
A_linear_10pp,2008,4,40,50,13,44.29999924,1.833,0
A_linear_10pp,2008,5,50,60,11,55.22,1.53,0
A_linear_10pp,2008,6,60,70,13,63.41,1.58,0
A_linear_10pp,2008,7,70,80,14,73.435,1.71,0
A_linear_10pp,2008,8,80,90,6,82.985,1.81,0
A_linear_10pp,2008,9,90,100,3,90.57,1.96,0
A_linear_10pp,2009,0,0,10,68,3.525,4.7425,0
A_linear_10pp,2009,1,10,20,21,14.33,2.76,0
A_linear_10pp,2009,2,20,30,21,26,2.246,0
A_linear_10pp,2009,3,30,40,22,34.035,2.098,0
A_linear_10pp,2009,4,40,50,16,42.475,1.6564,0
A_linear_10pp,2009,5,50,60,14,54.105,1.65,0
A_linear_10pp,2009,6,60,70,14,64.465,1.556,0
A_linear_10pp,2009,7,70,80,14,74.3970727764,1.775,0
A_linear_10pp,2009,8,80,90,9,83.25,1.79,0
A_linear_10pp,2009,9,90,100,3,92.08,1.98,0
A_linear_10pp,2010,0,0,10,56,3.7799999715,4.8735,0
A_linear_10pp,2010,1,10,20,23,13,3.078,0
A_linear_10pp,2010,2,20,30,20,25.765,2.4985,0
A_linear_10pp,2010,3,30,40,22,34.535,2.112,0
A_linear_10pp,2010,4,40,50,22,45,1.8405,0
A_linear_10pp,2010,5,50,60,11,53.68,1.6,0
A_linear_10pp,2010,6,60,70,18,65.049999235,1.728,0
A_linear_10pp,2010,7,70,80,13,75.17,1.72,0
A_linear_10pp,2010,8,80,90,11,83.7,1.65,0
A_linear_10pp,2010,9,90,100,5,90.72,1.95,0
A_linear_10pp,2011,0,0,10,51,4.5,4.97,0
A_linear_10pp,2011,1,10,20,26,13.900000095,3.196,0
A_linear_10pp,2011,2,20,30,10,24.8817579397,3.2295,0
A_linear_10pp,2011,3,30,40,28,34.92500038,2.118,0
A_linear_10pp,2011,4,40,50,19,45.69,1.938,0
A_linear_10pp,2011,5,50,60,19,54,1.823,0
A_linear_10pp,2011,6,60,70,20,66.7949996963,1.749,0
A_linear_10pp,2011,7,70,80,12,76.7499832516,1.4945,0
A_linear_10pp,2011,8,80,90,14,83.3795600767,1.72,0
A_linear_10pp,2011,9,90,100,5,92.7699860554,1.88,0
A_linear_10pp,2012,0,0,10,43,4.350599766,4.982,0
A_linear_10pp,2012,1,10,20,29,13.5,3.382,0
A_linear_10pp,2012,2,20,30,12,23.80000019,2.919,0
A_linear_10pp,2012,3,30,40,22,35.2025732273,2.274,0
A_linear_10pp,2012,4,40,50,21,45.865,1.899,0
A_linear_10pp,2012,5,50,60,15,55.4160531915,1.798,0
A_linear_10pp,2012,6,60,70,22,64.4480050498,1.6455,0
A_linear_10pp,2012,7,70,80,16,73.2749757952,1.6455,0
A_linear_10pp,2012,8,80,90,16,84.5349957525,1.715,0
A_linear_10pp,2012,9,90,100,7,92.8599923595,1.73,0
A_linear_10pp,2013,0,0,10,37,4.8,4.93,0
A_linear_10pp,2013,1,10,20,29,14,3.433,0
A_linear_10pp,2013,2,20,30,15,24.70000076,3.1,0
A_linear_10pp,2013,3,30,40,16,36.05000038,2.62,0
A_linear_10pp,2013,4,40,50,21,44.09999847,2.106,0
A_linear_10pp,2013,5,50,60,18,55.450000765,1.782,0
A_linear_10pp,2013,6,60,70,20,65.4274,1.636,0
A_linear_10pp,2013,7,70,80,17,72.6756,1.729,0
A_linear_10pp,2013,8,80,90,16,84.285000765,1.5235,0
A_linear_10pp,2013,9,90,100,12,93.878201525,1.765,0
A_linear_10pp,2014,0,0,10,30,6,4.854,0
A_linear_10pp,2014,1,10,20,30,15.8874363229,3.578,0
A_linear_10pp,2014,2,20,30,16,24.255000115,3.1905,0
A_linear_10pp,2014,3,30,40,13,35.5,2.695,0
A_linear_10pp,2014,4,40,50,20,45.8751952583,2.1955,0
A_linear_10pp,2014,5,50,60,18,54.1891599475,1.787,0
A_linear_10pp,2014,6,60,70,23,65.38179779,1.75,0
A_linear_10pp,2014,7,70,80,22,74.6158636365,1.615,0
A_linear_10pp,2014,8,80,90,15,84.2415280294,1.61,0
A_linear_10pp,2014,9,90,100,14,92.9118032519,1.78,0
A_linear_10pp,2015,0,0,10,23,6.099999905,4.775,0
A_linear_10pp,2015,1,10,20,27,14.89999962,3.779,0
A_linear_10pp,2015,2,20,30,21,24.08539963,3.308,0
A_linear_10pp,2015,3,30,40,13,37.8193834277,3.008,0
A_linear_10pp,2015,4,40,50,16,45.1674880767,2.2215,0
A_linear_10pp,2015,5,50,60,25,55.7631556336,1.797,0
A_linear_10pp,2015,6,60,70,17,66.8349594911,1.648,0
A_linear_10pp,2015,7,70,80,29,74.0017527914,1.7,0
A_linear_10pp,2015,8,80,90,14,85.8110651413,1.615,0
A_linear_10pp,2015,9,90,100,16,93.4207986543,1.715,0
A_linear_10pp,2016,0,0,10,16,5.8500000955,4.8455,0
A_linear_10pp,2016,1,10,20,24,14.56855011,4.496,0
A_linear_10pp,2016,2,20,30,22,23.958750725,3.2375,0
A_linear_10pp,2016,3,30,40,13,33.35219955,2.973,0
A_linear_10pp,2016,4,40,50,16,44.98785019,2.509,0
A_linear_10pp,2016,5,50,60,27,56.15000153,2.054,0
A_linear_10pp,2016,6,60,70,18,66.686950685,1.6665,0
A_linear_10pp,2016,7,70,80,28,75.699354832,1.7285,0
A_linear_10pp,2016,8,80,90,20,85.5722098794,1.585,0
A_linear_10pp,2016,9,90,100,19,95.108681672,1.74,0
A_linear_10pp,2017,0,0,10,13,7,4.496,0
A_linear_10pp,2017,1,10,20,18,15.386400225,4.484,0
A_linear_10pp,2017,2,20,30,19,24.39999962,3.399,0
A_linear_10pp,2017,3,30,40,15,35.20000076,2.972,0
A_linear_10pp,2017,4,40,50,12,45.5755030476,2.7015,0
A_linear_10pp,2017,5,50,60,23,55.4032403003,1.985,0
A_linear_10pp,2017,6,60,70,27,64.5,1.74,0
A_linear_10pp,2017,7,70,80,23,74.4364454136,1.621,0
A_linear_10pp,2017,8,80,90,28,83.5338429396,1.58,0
A_linear_10pp,2017,9,90,100,22,96.1178685247,1.725,0
A_linear_10pp,2018,0,0,10,9,6.956299782,4.867,0
A_linear_10pp,2018,1,10,20,17,15.49069977,4.442,0
A_linear_10pp,2018,2,20,30,16,27.671850205,4.175,0
A_linear_10pp,2018,3,30,40,14,35.6700300316,2.9515,0
