midpoint_year,baseline_year,registry_n,comparable_n,missing_n,R_n,F_n,U_n,O_n,A_n,conditional_n,R_map_share,F_map_share,A_map_share,p_R,p_F,p_U,gap_F_minus_R_pp,population_observed,population_coverage_n,R_population,F_population,A_population,R_population_share,F_population_share,A_population_share,mapped_comparable_n,off_map_comparable_n,off_map_R_n,off_map_F_n,off_map_A_n,input_panel_sha256,method_contract_sha256
2001,2001,217,164,53,0,0,0,164,164,0,0,0,1,,,,,5997901951,164,0,0,5997901951,0,0,1,152,12,0,0,12,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2002,2001,217,164,53,0,0,0,164,164,0,0,0,1,,,,,6077614523,164,0,0,6077614523,0,0,1,152,12,0,0,12,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2003,2001,217,164,53,0,0,2,162,164,2,0,0,1,0,0,1,0,6157235128,164,0,0,6157235128,0,0,1,152,12,0,0,12,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2004,2001,217,164,53,3,2,2,157,159,7,0.018292682926829268292682926829268292682926829268293,0.012195121951219512195121951219512195121951219512195,0.96951219512195121951219512195121951219512195121951,0.42857142857142857142857142857142857142857142857143,0.28571428571428571428571428571428571428571428571429,0.28571428571428571428571428571428571428571428571429,-14.285714285714285714285714285714285714285714285714,6237649894,164,1265642416,1364667617,3607339861,0.20290372776731543823963134408004977395097128546856,0.21877912999135696601826623775560045884165489202110,0.57831714224132759574210241816434976720737382251034,152,12,0,0,12,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2005,2001,217,164,53,9,14,8,133,141,31,0.054878048780487804878048780487804878048780487804878,0.085365853658536585365853658536585365853658536585366,0.85975609756097560975609756097560975609756097560976,0.29032258064516129032258064516129032258064516129032,0.45161290322580645161290322580645161290322580645161,0.25806451612903225806451612903225806451612903225806,16.129032258064516129032258064516129032258064516129,6318009462,164,1858938273,2130869601,2328201588,0.29422847246125254378417706776140943994046838925104,0.33726913734717037370590756484688531477859315684577,0.36850239019157708250991536739170524528093845390319,152,12,0,0,12,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2006,2001,217,164,53,10,30,10,114,124,50,0.060975609756097560975609756097560975609756097560976,0.18292682926829268292682926829268292682926829268293,0.75609756097560975609756097560975609756097560975610,0.2,0.6,0.2,40.0,6399109849,164,1660791497,2495929947,2242388405,0.25953476908347412868423787547329537958678664964421,0.39004330381827142783277449563282219567348452311277,0.35042192709825444348298762889388242473972882724302,152,12,1,0,11,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2007,2001,217,163,54,12,43,17,91,108,72,0.073619631901840490797546012269938650306748466257669,0.26380368098159509202453987730061349693251533742331,0.66257668711656441717791411042944785276073619631902,0.16666666666666666666666666666666666666666666666667,0.59722222222222222222222222222222222222222222222222,0.23611111111111111111111111111111111111111111111111,43.055555555555555555555555555555555555555555555555,6468969612,163,685816934,3970079918,1813072760,0.10601640989745926170846263669231779350024870699609,0.61371132593287562965290367791574656109236334437120,0.28027226416966510863863368539193564540738794863271,151,12,2,1,9,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2008,2001,217,163,54,15,59,21,68,89,95,0.092024539877300613496932515337423312883435582822086,0.36196319018404907975460122699386503067484662576687,0.54601226993865030674846625766871165644171779141104,0.15789473684210526315789473684210526315789473684211,0.62105263157894736842105263157894736842105263157895,0.22105263157894736842105263157894736842105263157895,46.315789473684210526315789473684210526315789473684,6551477880,163,777758379,4238370798,1535348703,0.11871495153395831964558201332124470211902783681535,0.64693354318399988248147759906654832512385739750067,0.23435150528204179787294038761220697275711476568398,151,12,2,4,6,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2009,2001,217,163,54,23,67,22,51,73,112,0.14110429447852760736196319018404907975460122699387,0.41104294478527607361963190184049079754601226993865,0.44785276073619631901840490797546012269938650306748,0.20535714285714285714285714285714285714285714285714,0.59821428571428571428571428571428571428571428571429,0.19642857142857142857142857142857142857142857142857,39.285714285714285714285714285714285714285714285715,6634112982,163,871090494,4387756190,1375266298,0.13130474207531366399029470131505215899562441307847,0.66139304559706396631277631141193609536268823225176,0.20730221232762236969692898727301174564168735466978,151,12,2,4,6,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
2010,2001,217,163,54,26,70,23,44,67,119,0.15950920245398773006134969325153374233128834355828,0.42944785276073619631901840490797546012269938650307,0.41104294478527607361963190184049079754601226993865,0.21848739495798319327731092436974789915966386554622,0.58823529411764705882352941176470588235294117647059,0.19327731092436974789915966386554621848739495798319,36.974789915966386554621848739495798319327731092437,6715568477,163,896980245,4600482739,1218105493,0.13356728444837507685501633520161036398289115383255,0.68504740213074890815382567946972629760290656626715,0.18138531342087601499115798532866333841420227990030,151,12,3,4,5,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
