entity_code,entity_name,region,income_group,registry_category,public_collective_noun,midpoint_year,pou_period_start,pou_period_end,obesity_value,obesity_low,obesity_high,pou_source_value,pou_censored,pou_lower,pou_upper,population,obesity_available,pou_available,population_available,comparable_primary,geometry_status,missing_reason,source_release_ids
ABW,Aruba,Latin America & Caribbean,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,,,,,False,,,91439,False,False,True,False,off_map_no_exact_code,obesity_and_pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,4.7510229,3.5469774,6.2521525,45.8,False,45.8,45.8,20284307,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
AGO,Angola,Sub-Saharan Africa,Lower middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,5.4170817,3.3358157,8.0237359,67.8,False,67.8,67.8,16747208,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ALB,Albania,Europe & Central Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,13.269196,11.336411,15.349595,4.8,False,4.8,4.8,3060173,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
AND,Andorra,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,13.866684,11.343339,16.611145,,False,,,65852,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,26.194042,23.968486,28.530139,2.5,True,0.0,2.5,3723590,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ARG,Argentina,Latin America & Caribbean,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,18.897536,17.023292,20.829926,3.0,False,3.0,3.0,37624825,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ARM,Armenia,Europe & Central Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,15.697713,14.016043,17.486867,28.6,False,28.6,28.6,3211800,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ASM,American Samoa,East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,68.902528,66.349494,71.405894,,False,,,57053,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,19.366235,12.680171,27.178311,,False,,,76069,True,False,True,False,off_map_no_exact_code,pou_missing,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
AUS,Australia,East Asia & Pacific,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,20.132039,19.068465,21.214515,2.5,True,0.0,2.5,19274701,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
AUT,Austria,Europe & Central Asia,High income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,12.214123,11.103132,13.411371,2.5,True,0.0,2.5,8042293,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,world_bank_non_aggregate_country_or_economy,countries_and_areas,2001,2000,2002,16.196841,14.428677,18.022639,17.8,False,17.8,17.8,8111200,True,True,True,True,exact_code_match,none,WHO:2026-05-27T16:07:31.457+02:00|WDI:2026-07-13|snapshot:v002-frozen-20260919
