scenario_id,family,baseline_year,comparison_year,exclude_pou_censored_pair,region_excluded,pair_comparable_n,conditional_n,R_n,F_n,U_n,O_n,p_R,p_F,p_U,gap_F_minus_R_pp,ordering_supported,scenario_status,inconclusive_reason,input_panel_sha256,method_contract_sha256
P0_2001_2023,primary,2001,2023,false,,161,133,28,81,24,28,0.21052631578947368421052631578947368421052631578947,0.60902255639097744360902255639097744360902255639098,0.18045112781954887218045112781954887218045112781955,39.849624060150375939849624060150375939849624060151,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
E1_2001_2021,endpoint,2001,2021,false,,162,133,31,79,23,29,0.23308270676691729323308270676691729323308270676692,0.59398496240601503759398496240601503759398496240602,0.17293233082706766917293233082706766917293233082707,36.090225563909774436090225563909774436090225563910,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
E2_2001_2022,endpoint,2001,2022,false,,162,133,32,77,24,29,0.24060150375939849624060150375939849624060150375940,0.57894736842105263157894736842105263157894736842105,0.18045112781954887218045112781954887218045112781955,33.834586466165413533834586466165413533834586466165,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
B1_2002_2023,baseline,2002,2023,false,,161,131,26,85,20,30,0.19847328244274809160305343511450381679389312977099,0.64885496183206106870229007633587786259541984732824,0.15267175572519083969465648854961832061068702290076,45.038167938931297709923664122137404580152671755725,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
B2_2003_2023,baseline,2003,2023,false,,161,127,24,85,18,34,0.18897637795275590551181102362204724409448818897638,0.66929133858267716535433070866141732283464566929134,0.14173228346456692913385826771653543307086614173228,48.031496062992125984251968503937007874015748031496,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
C1_2001_2023_NO_POU_CENSOR,censor_exclusion,2001,2023,true,,99,92,28,63,1,7,0.30434782608695652173913043478260869565217391304348,0.68478260869565217391304347826086956521739130434783,0.010869565217391304347826086956521739130434782608696,38.043478260869565217391304347826086956521739130435,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
L1_2001_2023_EXCLUDE_REGION_EAST_ASIA_PACIFIC,leave_one_region_out,2001,2023,false,East Asia & Pacific,141,117,27,70,20,24,0.23076923076923076923076923076923076923076923076923,0.59829059829059829059829059829059829059829059829060,0.17094017094017094017094017094017094017094017094017,36.752136752136752136752136752136752136752136752137,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
L1_2001_2023_EXCLUDE_REGION_EUROPE_CENTRAL_ASIA,leave_one_region_out,2001,2023,false,Europe & Central Asia,113,103,27,68,8,10,0.26213592233009708737864077669902912621359223300971,0.66019417475728155339805825242718446601941747572816,0.077669902912621359223300970873786407766990291262136,39.805825242718446601941747572815533980582524271845,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
L1_2001_2023_EXCLUDE_REGION_LATIN_AMERICA_CARIBBEAN,leave_one_region_out,2001,2023,false,Latin America & Caribbean,135,108,23,61,24,27,0.21296296296296296296296296296296296296296296296296,0.56481481481481481481481481481481481481481481481481,0.22222222222222222222222222222222222222222222222222,35.185185185185185185185185185185185185185185185185,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
L1_2001_2023_EXCLUDE_REGION_MIDDLE_EAST_NORTH_AFRICA_AFGHANISTAN_PAKISTAN,leave_one_region_out,2001,2023,false,"Middle East, North Africa, Afghanistan & Pakistan",142,119,21,74,24,23,0.17647058823529411764705882352941176470588235294118,0.62184873949579831932773109243697478991596638655462,0.20168067226890756302521008403361344537815126050420,44.537815126050420168067226890756302521008403361344,true,SUPPORTED,,01f808160e9cfd251000ee807847a642051d4dec6568bf95ec522eb24693c1f8,fc0d4b571203eeaa11c04db7b3942df8e742b57bd630ef4b733c90cb52ff03d1
