year,classification_scenario,country_democracy_n,country_denominator_n,country_democracy_share,observed_democracy_population,observed_population_denominator,observed_democracy_share,gap_observed_pp,gap_lower_pp,gap_upper_pp,gap_observed_sign,gap_lower_sign,gap_upper_sign,common_matched_democracy_n,common_matched_unit_n,common_matched_unit_share,common_matched_gap_pp,world_population_reference,reference_missing_mass,population_coverage_rate,input_panel_sha256,method_contract_sha256
1973,Q0_three_state,31,158,0.19620253164556962025316455696202531645569620253165,1204208474.0,3415393512.0,0.35258264377706647116216692045996953337305513977331,15.638011213149685090900236349794421691735893724166,11.170324467163375633952730269213737482409328408242,23.841642312324157453930817877485972611237030935479,positive,positive,positive,30,129,0.23255813953488372093023255813953488372093023255814,12.002450424218275023193436232043464965212490721517,3910964219,495570707.0,0.87328682154839218180021912391727764871172297472763,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q1_midpoint_binary,35,158,0.22151898734177215189873417721518987341772151898734,1245499226.0,3415393512.0,0.36467224687987871307990000070012430239692977433987,14.315325953810656118116582348493442897920825535253,9.6944480042867707420827651790640772868740965265830,22.365765849447552562060852787336312415701799053820,positive,positive,positive,32,129,0.24806201550387596899224806201550387596899224806202,11.661023137600274408765193868462042642793752627785,3910964219,495570707.0,0.87328682154839218180021912391727764871172297472763,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q2_boundary_autocracy,31,158,0.19620253164556962025316455696202531645569620253165,1204208474.0,3415393512.0,0.35258264377706647116216692045996953337305513977331,15.638011213149685090900236349794421691735893724166,11.170324467163375633952730269213737482409328408242,23.841642312324157453930817877485972611237030935479,positive,positive,positive,30,129,0.23255813953488372093023255813953488372093023255814,12.002450424218275023193436232043464965212490721517,3910964219,495570707.0,0.87328682154839218180021912391727764871172297472763,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1973,Q3_boundary_democracy,38,158,0.24050632911392405063291139240506329113924050632911,1271783159.0,3415393512.0,0.37236797298220082816623913525780568971227816749451,13.186164386827677753332774285274239857303766116540,8.4677714458119685316185001002774225054614500657850,21.139089290972750351596587708549657634289152593022,positive,positive,positive,35,129,0.27131782945736434108527131782945736434108527131783,10.105014352483648708096781742834832537119289617668,3910964219,495570707.0,0.87328682154839218180021912391727764871172297472763,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q0_three_state,31,158,0.19620253164556962025316455696202531645569620253165,1223828434.0,3485702773.0,0.35109948085065828990577562362916937094796866089534,15.489694920508866965261106666714405449227245836369,11.073780097048170527024385587066051589988927090451,23.651169310958814991812954061981728301608996640581,positive,positive,positive,30,129,0.23255813953488372093023255813953488372093023255814,11.854134131577456897554306548963448722703842833720,3987186772,501483999.0,0.87422610786089355535211431525084323288379930449870,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q1_midpoint_binary,36,158,0.22784810126582278481012658227848101265822784810127,1291490925.0,3485702773.0,0.37051091533213752875538134702571210881611218777316,14.266281406631474394525476474723109615788433967189,9.6062214164968878139341088156497045600639188489110,22.183610630407532278722677290565381271683988399041,positive,positive,positive,33,129,0.25581395348837209302325581395348837209302325581395,11.469696184376543573212553307222373672308893195921,3987186772,501483999.0,0.87422610786089355535211431525084323288379930449870,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q2_boundary_autocracy,31,158,0.19620253164556962025316455696202531645569620253165,1223828434.0,3485702773.0,0.35109948085065828990577562362916937094796866089534,15.489694920508866965261106666714405449227245836369,11.073780097048170527024385587066051589988927090451,23.651169310958814991812954061981728301608996640581,positive,positive,positive,30,129,0.23255813953488372093023255813953488372093023255814,11.854134131577456897554306548963448722703842833720,3987186772,501483999.0,0.87422610786089355535211431525084323288379930449870,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1974,Q3_boundary_democracy,38,158,0.24050632911392405063291139240506329113924050632911,1292743264.0,3485702773.0,0.37087019410074067149958915903240726486348639686497,13.036386498681662086667776662734397372424589053586,8.3718077196380592402255659458340112025942346058220,20.949196933548703705014134420749687914214304155953,positive,positive,positive,35,129,0.27131782945736434108527131782945736434108527131783,9.9552364643376330414317841202949900522401125547140,3987186772,501483999.0,0.87422610786089355535211431525084323288379930449870,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1975,Q0_three_state,32,158,0.20253164556962025316455696202531645569620253164557,641613418.0,3565106576.0,0.17997033309446847796002606795561895145992404127220,-2.2561312475151775204530894069697504236278490373370,-4.4575036768053156470795743757074768246475599392430,7.7743591610248097309785295428923408798571554562220,negative,negative,positive,30,132,0.22727272727272727272727272727272727272727272727273,-4.7302394178258794767246659317108321267348686000530,4061959945,496853369.0,0.87768137162169874621941896081400182295495284604536,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
1975,Q1_midpoint_binary,36,158,0.22784810126582278481012658227848101265822784810127,711219037.0,3565106576.0,0.19949446723076028456996119826517074085922081000924,-2.8353634035062500240165384013310271799007038092030,-5.2755523635789064721338262136638747396796275811360,6.9563104742512189059242777049359429648250878143280,negative,negative,positive,34,132,0.25757575757575757575757575757575757575757575757576,-5.8081290344997291187614559310586834898354947566520,4061959945,496853369.0,0.87768137162169874621941896081400182295495284604536,9b731512a9848138113cd2c395175fe8196fb41d7758cd8b88cf7e87e1175c00,a0801177c4565d233b5ce9b7fa147b8dc643a5df08c3f4dcf359d488736f6c57
